Step,./outputs/train_scratch_vitbase - train/loss
0,3.7477
1,1.2532
2,1.0864
3,1.0856
4,1.0572
5,0.8032
6,0.8698
7,0.664
8,0.6667
9,0.5642
10,0.7794
11,0.7088
12,0.6298
13,0.5346
14,0.5904
15,0.6513
16,0.5574
17,0.5324
18,0.5348
19,0.596
20,0.543
21,0.5433
22,0.5447
23,0.5445
24,0.5121
25,0.5541
27,0.6239
28,0.5247
29,0.4933
30,0.5152
31,0.586
32,0.4929
33,0.5577
34,0.5093
35,0.5239
36,0.5466
37,0.5149
38,0.4867
39,0.6277
40,0.6226
41,0.5878
42,0.4981
43,0.5043
44,0.4867
45,0.453
46,0.4533
47,0.5227
48,0.5179
49,0.4239
50,0.4507
51,0.5833
52,0.5121
53,0.4421
55,0.5253
56,0.5226
57,0.5563
58,0.5014
59,0.5077
60,0.5385
61,0.5072
62,0.4584
63,0.4926
64,0.5012
65,0.4097
66,0.4498
67,0.4859
68,0.4371
69,0.4506
70,0.5779
71,0.5496
72,0.4543
73,0.4881
74,0.4649
75,0.4975
76,0.5407
77,0.5073
78,0.4919
79,0.4897
80,0.4562
82,0.4363
83,0.4651
84,0.4424
85,0.4793
86,0.4467
87,0.4109
88,0.5037
89,0.5262
90,0.4907
91,0.4303
92,0.4181
93,0.5284
94,0.4171
95,0.4443
96,0.5123
97,0.4668
98,0.4963
99,0.5382
100,0.4199
101,0.4606
102,0.5208
103,0.4197
104,0.5135
105,0.5226
106,0.453
107,0.4607
108,0.4693
110,0.3949
111,0.4146
112,0.4755
113,0.4376
114,0.4205
115,0.4584
116,0.4024
117,0.46
118,0.4761
119,0.4499
120,0.4655
121,0.5432
122,0.4794
123,0.4727
124,0.4089
125,0.4523
126,0.4448
127,0.4106
128,0.4884
129,0.4329
130,0.4276
131,0.4019
132,0.4094
133,0.4598
134,0.4476
135,0.4281
136,0.4551
138,0.4638
139,0.4323
140,0.3922
141,0.4073
142,0.5275
143,0.4001
144,0.4911
145,0.4419
146,0.4389
147,0.3747
148,0.3841
149,0.4081
150,0.3751
151,0.4495
152,0.421
153,0.4489
154,0.4127
155,0.4432
156,0.4223
157,0.4381
158,0.4514
159,0.4328
160,0.5438
161,0.4386
162,0.3684
163,0.4238
165,0.4376
166,0.5126
167,0.4726
168,0.47
169,0.441
170,0.4764
171,0.4989
172,0.4359
173,0.4793
174,0.513
175,0.4835
176,0.4463
177,0.4355
178,0.4094
179,0.4519
180,0.3555
181,0.4377
182,0.3707
183,0.4335
184,0.4424
185,0.4874
186,0.4055
187,0.4372
188,0.387
189,0.4084
190,0.3897
191,0.4255
193,0.3924
194,0.4658
195,0.4179
196,0.4269
197,0.3888
198,0.3995
199,0.4082
200,0.4238
201,0.3738
202,0.4283
203,0.4045
204,0.4472
205,0.4587
206,0.4846
207,0.4304
208,0.3902
209,0.375
210,0.4003
211,0.3738
212,0.4166
213,0.4091
214,0.4053
215,0.3835
216,0.4177
217,0.3945
218,0.4043
220,0.3621
221,0.4146
222,0.4323
223,0.4166
224,0.3572
225,0.4382
226,0.3667
227,0.3576
228,0.4006
229,0.4172
230,0.4078
231,0.3904
232,0.3873
233,0.4029
234,0.451
235,0.4092
236,0.3547
237,0.3713
238,0.4044
239,0.4139
240,0.4042
241,0.4106
242,0.4644
243,0.438
244,0.3987
245,0.3858
246,0.428
248,0.38
249,0.3681
250,0.4064
251,0.4343
252,0.4064
253,0.3854
254,0.4224
255,0.442
256,0.3635
257,0.3464
258,0.4336
259,0.404
260,0.4142
261,0.3571
262,0.3461
263,0.3609
264,0.4061
265,0.3704
266,0.3732
267,0.4243
268,0.3997
269,0.3989
270,0.397
271,0.3875
272,0.4272
273,0.3829
274,0.381
276,0.3464
277,0.3593
278,0.3787
279,0.4535
280,0.3745
281,0.3602
282,0.3582
283,0.3888
284,0.3869
285,0.4189
286,0.4125
287,0.3732
288,0.4011
289,0.4178
290,0.4402
291,0.3488
292,0.4044
293,0.3418
294,0.422
295,0.3824
296,0.4106
297,0.4206
298,0.4112
299,0.3577
300,0.4005
301,0.3683
303,0.3892
304,0.4017
305,0.3662
